Question asked,Answer,Feedback,,,Bot link : ,https://prudhvi1709.github.io/iitmdocs/
What is the full form of MLT in BS Degree Course?,The full form of MLT in the BS Degree Course is Machine Learning Techniques.,Correct,,,,
Grading Policy for PDSA ?,***Policy given***,Correct,,,,
How to get advanced certification?,****Read from student document and answered***,Correct,,,,
should i complete projects too? for getting advance certificate?,****Read from student document and answered***,Correct,,,,
Difference between Reattempt and Reapply Qualifier?,***Policy given***,Correct,,,,
will i be able to review my answer after the exams? will it be available in my dashboard?,"For the most accurate information, you may consider contacting the program support or checking your student dashboard after the exam for any updates on answer review availability.",Nearly correct,,,,
Can exam city be changed or edited for quiz or end term exam?,"So, yes, exam city selection is flexible and can be changed each term while registering for the courses.",Nearly correct,,,,
can i submit state issued document as income certificate or only central government issued is valid?,"To be certain, it is recommended to contact the administration or admissions office directly for clarification on acceptable income certificate documents for fee waiver purposes.",Incorrect,,,,
Are there any specific tools used to communicate with faculty or instructors? or What are the available platforms for faculty-student communication?,Discourse Forum: Students engage actively in the discourse forums for participation badges and communication.,Correct,,,,
How many weeks of syllabus are in Maths 1?,"Maths 1 syllabus covers 6 weeks of content.

This is mentioned in the ""Direct Entry into Diploma programme"" document, where it states that the qualifier exam for Diploma in Programming (DP) includes ""English, Aptitude and 6 weeks of Maths 1.""",Incorrect,,,,
Are there any marks or points for attending in live sessions?,"Based on the provided documents, there is no mention of any marks or points awarded specifically for attending live sessions. The evaluation and grading structure focuses on the following components:

Online weekly assignments
Two in-person proctored quizzes
An in-person end term exam
There is no reference to live session attendance affecting the course score or grades. The course content includes recorded video lectures, self-tests, and practice assignments available weekly, but attendance in live sessions is not listed as part of the assessment criteria.

Therefore, attending live sessions does not contribute directly to marks or points in the programme.",Correct,,,,
can i enter degree level without completing diploma level projects,***Policy given***,Correct,,,,
How many credits are required to get Degree,"To earn a degree in the program, the following credit requirements must be met:

BSc Degree: 114 credits
BS Degree: 142 credits
Breakdown:
Foundation Level: 32 credits
Diploma Level: 54 credits
BSc Degree Level Courses: 28 credits
BS Degree Level Courses: 28 credits
To get the BSc degree, you must complete 114 credits, including foundation, diploma, and BSc level courses.
To get the BS degree, you must complete 142 credits, which includes additional courses at the BS degree level.
Note:

The Minor in Economics and Finance can be earned only with the BS degree and is included within the 142 credits for the BS degree.
Apprenticeship credits (0/4/8/12 credits) are part of the BS degree level courses.
For more detail, see the section ""3.1 Definition of credit in the program"" in the ""Courses in the programme"" document.",Correct,,,,
In degree level what are the minors available,"In the degree level of the program, a Minor in Economics and Finance is available.",Correct,,,,
what are the core pairs,"The core pairs of courses in the BSc Degree level of the program are:

Software Engineering and Software Testing
Artificial Intelligence and Deep Learning
These pairs are mandatory as part of the 28 credits required at the BSc Degree level.",Correct,,,,
is fee waiver applicable for army children,"Based on the provided documents, there is no specific mention of a fee waiver explicitly for Army children or their dependents.

The fee waiver categories mentioned are primarily based on:

General category (with income-based waivers: >5 LPA no waiver, 1–5 LPA 50% waiver, <=1 LPA 75% waiver)
OBC category (OBC-NCL)
SC/ST
PwD (persons with disability)
Combined SC/ST + PwD categories
No explicit mention is made about Army children or Defence category candidates receiving any fee waiver.

Summary:
Fee waivers are offered based on family income and specific categories such as SC/ST, OBC, PwD, etc.
Army children are not specifically listed as a separate category eligible for fee waiver.
If you belong to one of the mentioned categories or meet the income criteria, you may be eligible.
Otherwise, standard fees apply.
If you are an Army child and wish to confirm any special concessions, it would be best to contact the program administration directly for clarification.",Correct,,,,
"If I have got I grade in this term and if I register for the same course after two terms, will the I grade be carried forward and can i repeat only the end term instead of repeat full course",***Policy given***,Correct,,,,
"what is the cgpa cutoff to register for degree level after completing diploma level
",***Policy given***,Correct,,,,
what is second attempt in qualifier how it is different from reattempt,"Second Attempt in Qualifier Exam
The Second Attempt refers to the candidate's opportunity to take the qualifier exam a second time within the same term after the initial attempt.

It is available if:

The candidate was eligible but absent for the first qualifier exam.
The candidate failed the first qualifier exam attempt.
The candidate does not need to repeat the 4-week coursework and assignments again for the second attempt.

Second attempt exams are held twice per term: after Week 4 and after Week 8.

There is a fee for the second attempt, which is lower than the full qualifier exam fee:

Category	Second Attempt Fee
General / OBC	Rs. 1500
SC / ST / PwD (≥ 40% disability)	Rs. 750
SC/ST + PwD (≥ 40% disability)	Rs. 375
Reattempt in Qualifier Exam
Reattempts generally refer to candidates who did not become eligible to take the qualifier exam after the 4-week qualifier process because they did not meet the weekly assignment score criteria.
Such candidates must:
Repeat the full 4-week qualifier coursework again.
Pay the full qualifier exam fees.
They are treated as a fresh applicant.
There is no limit on the number of reattempts a candidate can take, but each time it involves repeating coursework and paying full fees.
This applies also to candidates who fail or miss the exam after the validity of their qualifier score expires.",Incorrect,,,,
What is the project cgpa to be maintained to enter the degree level,***Policy given***,Correct,,,,
How many terms from starting the diploma level should a student complete the level,***Policy given***,Correct,,,,
How can I register for alumni,Points given as per handbook,Correct,,,,
What are the prerequisite of appdev 1,"The prerequisite and corequisite for the course App dev 1 are as follows:

Prerequisite: None
Corequisite: DBMS",Correct,,,,
what is the processing fee to avail the alum benefits,***Policy given***,Correct,,,,
Does alumni students have access to discourse forum,***Policy given***,Correct,,,,
"Which subjects have 3 credits
","According to the information provided in the document ""Courses in the programme.md,"" the credits are based on the UGC system where 1 credit corresponds to 14 hours of learner engagement and 1 credit in this system equals 3 credits in the IITM campus credit system.

Courses are generally described with total credits rather than individual course credit breakdown in the excerpts. There is no explicit list given of courses with exactly 3 credits in the documents shared.

However, from the structure:

Foundation level courses total to 32 credits for 8 courses, averaging 4 credits per course, so likely not 3-credit per course.
Diploma level courses are listed as 23 credits per 6 courses plus 4 credits for 2 project courses.
Level 3 and 4 courses have fees given per credit (Rs 2500/credit for level 3, Rs 5000/credit for level 4), but no specific course has 3 credits mentioned.
Therefore, the documents do not explicitly specify which individual courses are 3-credit courses. Most courses appear to be structured either as 4 or more credits or as part of a set of courses totaling credits.

If you want a more specific answer on credit allocation per course, please provide a detailed course credit list or specify a course name.",Incorrect,,,,
can a student take a foundation level course as improvement after entering degree level,"Therefore, a student who has entered the Degree level cannot register for Foundation level courses as improvement courses.",Incorrect,,,,
Is there a scholarship option available?,***Policy given***,Correct,,,,
What are the eligibility criteria for the Data Science course?,"The eligibility criteria for the Data Science course in the BS in Data Science and Applications program from IIT Madras depend on the entry level:

Entry Through Foundation Level:

There are no explicit eligibility criteria mentioned for joining the Foundation Level courses.
Learners can start from Foundation courses and progress through Diploma and Degree courses.
All 8 Foundation courses must be completed before registering for Year 2 Diploma level courses.
Direct Entry into Diploma Program:

Students who have completed 2 years in any undergraduate degree program are eligible to apply for direct entry into the Diploma level (either Diploma in Programming or Diploma in Data Science).
The second year marksheet or higher is required as proof.
Candidates need to pass a qualifier exam (Direct Admission to Diploma - DAD) specific to the Diploma in Data Science program.
The DAD-DS qualifier exam is a 4-hour test covering English, Maths 1, Statistics 1, and Python programming.
Candidates passing the qualifier can start from Year 2 Diploma level courses directly.
Additional notes:

For direct entry students who complete the Diploma in Data Science, they are eligible to pursue the Diploma in Programming without a qualifier.
Students starting from Foundation level must complete all Foundation courses, Diploma courses, and projects before progressing to Year 3 Degree level courses.",Incorrect,,,,
quiz 2 date for may,"The Quiz 2 date for the May 2025 term for most courses is August 03, 2025.",Correct,,,,
Is the foundation complition certificate will be given in hard copy?,"The provided documents do not explicitly state whether the Foundation completion certificate is issued as a hard copy. However, according to the ""Academic Documents for students.md,"" official documents such as transcripts and certificates are issued on a scheduled basis (every Thursday) upon application, suggesting that certificates can be provided as official documents.

To know the exact mode of delivery (hard copy or digital), you may need to contact the administration directly or refer to the official guidelines linked in the document:
https://docs.google.com/document/d/e/2PACX-1vQnn2cFan5BqTTAByCoqtue-0XSmFXQPT91bADDL_i33tHMh8C0ZJepvFBwze4E5zJbGiBMdQa59VeT/pub

In summary:

Foundation level completion certificates are official academic documents.
They can be applied for via the student dashboard or as per the procedure outlined.
The documents may be issued likely in official formats (possibly including hard copy), but this is not explicitly confirmed.
You may need to request specifically for a hard copy or confirm with the program administration.",Incorrect,,,,
end term eligibility criteria,"The eligibility criteria to appear for the end term exam vary slightly depending on the course. Below are the summarized eligibility criteria for the end term exams from the Diploma level courses:

General Eligibility Criteria for End Term Exam:
Students must achieve a minimum average in weekly assessments (usually the best 5 or 6 out of the first 7 or 10 weekly assessments) equal to or greater than 40/100.
Students must attend at least one of the in-person quizzes (where applicable).
For some courses, passing certain programming or practical components is mandatory.
Specific Examples from Various Diploma Courses:
Database Management System (DBMS)

Average of best 5 out of first 7 weekly assessments ≥ 40/100.
Must attend at least one of the two in-person quizzes.
Application Development - 1 (App Dev 1)

Average of best 5 out of first 7 weekly assessments ≥ 40/100.
Must attend at least one of the two in-person quizzes.
Programming Concepts Using Java

Average of the best 5 out of the first 7 weekly assessments (objective and programming) ≥ 40/100.
Must attend at least one of the two quizzes in the centre.
System Commands

Average of best 5 out of first 7 weekly assessments (objective and programming) ≥ 40/100.
Application Development - 2 (App Dev 2)

Average of best 5 out of first 7 weekly assessments scores ≥ 40/100.
Must attend at least one of the two quizzes in the centre.
Additional Notes:
Attending the end term exam is mandatory to get the final course grade.
Some courses require passing practical components or specific questions (e.g., Python-DB connectivity in DBMS) to be eligible for a course grade.
If a student does not meet the weekly assessment average criteria or misses the quizzes, they may be declared ineligible or required to repeat the course.
OPPE (Online Proctored Programming Exam) eligibility is governed by separate criteria such as SCT exam completion, minimum averages in specific assignments, and programming tasks.
For detailed eligibility criteria and grading rules, always refer to the official course announcements or relevant documents provided by the institute.",Correct,,,,
how can i apply for transcripts,"To apply for official transcripts, please follow these steps:

Students interested in applying for a transcript must contact the administration.

Transcripts (and Bonafide Certificates) are issued every Thursday. Plan your application accordingly.

For detailed criteria and information about official documents, refer to the official document here:
Official Documents Criteria

Make sure to coordinate and apply in advance since processing is on a fixed day weekly.

If you need transcripts for specific courses or terms, your transcript will list all courses taken term-wise including grades.

Summary:

Contact the administration expressing your interest.
Transcripts are issued only on Thursdays.
Refer to the official criteria link for detailed information.
Plan your request ahead of time to align with issuance days.
If you require further assistance with the application process, please get in touch with the student support team.

",Correct,,,,
September term start date?,"The September term corresponds to the months:
SEP, OCT, NOV, DEC

The exact start date is not explicitly mentioned in the provided documents, but typically the term would start at the beginning of September.

If you need the exact start date, please check the official academic calendar or course announcements for the September 2025 term.",Correct,,,,
what is the quiz 2 syllabus.,"The Quiz 2 syllabus generally covers content from weeks 5 to 8 of the course. Specifically, for courses that have detailed syllabus information mentioned in the documents, the Quiz 2 syllabus includes materials taught and assignments from weeks 5 through 8.

For example:

In the ""Algorithmic Thinking in Bioinformatics"" course, Quiz 2 covers syllabus for weeks 5-8.
In many other courses, Quiz 2 is scheduled around August 03, 2025, and it covers the content taught after Quiz 1, typically weeks 5 to 8.",Nearly correct,,,,
Qualifier Eligiblity,***Policy given***,Correct,,,,
What is the qualifier eligiblity,***Policy given***,Correct,,,,
What is the year-wise fee structure?,***Policy given***,Correct,,,,
What is end term eligibility in python?,***Policy given***,Correct,,,,
courses in may term?,"In the May term (May-August), the following courses are offered:

All Foundation level courses
Diploma level courses
Mandatory courses of the BSc level
These courses are available in every term including the May term.

For more details:

Foundation, Diploma, and BSc mandatory courses are available every term.
Courses are designed for online delivery, typically spanning 12 weeks with a 4-credit structure.
You can choose courses based on your level of study and completed prerequisites (e.g., to take Math-2, you must have cleared Math-1).

Refer to the academic calendar and course registration guidelines for choosing and registering courses in the May term.",Nearly correct,,,,
"should I pay the full fee for all the four years at once or how will be the fee collected
","You are not required to pay the full fee for all four years at once. The program fee is collected level-wise or term-wise, based on the courses and credits you register for in each term.

Here's how the fee payment works:

Course-wise Payment: You pay only for the number of credits you register for each term. Fees vary depending on the level (Foundation, Diploma, BSc, or BS) and the number of credits you choose.

Level-wise Fee Structure:

Foundation level fee: Rs. 32,000 for 32 credits.
Diploma level fee: Rs. 1,25,000 for 46 theory + 8 project credits.
BSc level fee: Rs. 2.21 Lakh to 2.47 Lakh depending on credit combinations.
BS level fee: Rs. 3.25 Lakh to 3.87 Lakh depending on credit combinations.
Term-wise Course Registration:

Each year has 3 terms (Jan-Apr, May-Aug, Sep-Dec).
You register for courses each term within your Course Completion Capacity (CCC).
You pay fees online for the courses registered in that term.
Fee Waivers and Education Loan: Waivers based on category and income are available. SBI education loans are also facilitated if needed.

So, the fee is collected incrementally as you progress through the course levels and register for courses each term, not as a lump sum for all four years at the beginning.

For more details, you can check the ""Fees for the entire programme.md"" and ""Course registration - steps involved.md"" documents.",Correct,,,,
what is the fees structure for internation student,"For international students, the fee structure consists of two components:

Course Fee (as applicable to all students):
The course fee depends on the level of study and number of credits registered. For example:

Foundation Level: Rs. 32,000
Diploma Level: Rs. 1,25,000 (for 2 diploma terms)
BSc Level: Rs. 2.21L – 2.47L (varies based on courses)
BS Level: Rs. 3.25L – 3.87L (varies based on courses)
Facilitation Fee (specific for students outside India):
This fee is in addition to the course fee and varies by country and the number of exams.

Component	Fee (Rs.)
Quiz 1	Rs. 2000 (regardless of number of courses)
Quiz 2	Rs. 2000
End Term Exam (1 course)	Rs. 2000
End Term Exam (>1 course)	Rs. 4000
Kuwait / Bahrain (may vary)	Rs. 3000
Example: For 4 courses, the total facilitation fee would be Rs. 8000 (Rs. 2000 + 2000 + 4000).

Note: Facilitation fees are subject to periodic revision depending on the local exam partner.

Summary:

International students pay the regular course fees plus an additional facilitation fee for exams conducted outside India.
Facilitation fees cover quiz and end term exams and vary based on the number of courses registered.
Exact facilitation fees may vary by country.
If you need specific country-wise fees or more details, you may contact the program's support.",Correct,,,,
will the provisional certifciate be issued as a hardcopy,"The documents provided do not explicitly mention whether the provisional certificate will be issued as a hardcopy. However, it does mention the design and availability of provisional certificates, and the official original certificates are processed with specific timelines and conditions.

For precise information about the format (hardcopy or digital) of provisional certificates, it would be best to contact the program administration directly or refer to the student dashboard where certificates are typically made available.",Correct,,,,
I have Taken Double Drop for JEE and have Enrolled in IIT Madras BS Data Science so what to fill in Highest Education Attained and in Current Details Section?,"Since you have taken a Double Drop for JEE and have enrolled in the IIT Madras BS in Data Science and Applications program, here's how you can fill the details:

Highest Education Attained:
If you have completed your 12th standard (or equivalent) before enrolling in the BS program, you should fill your highest completed education level as 12th Standard (or equivalent).
If you are currently in your 12th or equivalent, you can mention the last completed education level, like 10th Standard, since you haven't completed 12th yet.
Current Details Section:
You should mention your current enrollment as ""Enrolled in BS in Data Science and Applications at IIT Madras"".
You can also specify that you are pursuing an undergraduate level program online with examination centers for quizzes/exams at designated places.
This aligns with the program's eligibility and enrollment information shared in the documents, which accepts learners from any background and allows them to study the BS program online.

If you need to specify a particular academic level, you can mention it as ""Undergraduate program - BS Data Science and Applications"" under current studies.

",Correct,,,,
what is the difference between I grade and I_OP,"The difference between the I grade and I_OP grade is as follows:

I Grade (Incomplete)
Given when the student is absent for the End Term (ET) exam alone but has completed all other assessment components such as quizzes, OPPEs, projects, and weekly assignments.
Student can register to take the ET exam alone in the subsequent term.
OPPE and quizzes will not be scheduled again for the student.
All other marks for the final course score will be carried over from the previous run.
I_OP Grade (Incomplete OPPE)
Given when the student has failed in the OPPE (Online Proctored Programming Exam) but has written the ET exam and crossed the cutoff for the total score (T) as per the course grading policy.
Student can register to do the OPPE alone in the next term.
If the course has one OPPE, that single OPPE will be scheduled; if it has two, both OPPEs will be scheduled.
Student can attempt the OPPE alone.
All other mark components of the final course score from the previous run (ET and quizzes) will be carried over and not scheduled again.
Summary
Grade	When it is given	What to do next	Assessments to be retaken
I	Absent for End Term exam only	Register and take ET exam alone in next term	Only End Term exam
I_OP	Failed OPPE but passed End Term with cutoff	Register and take OPPE alone in next term	OPPE(s) only
You can also choose to repeat the entire course instead of only the pending components in both cases.",Correct,,,,
What are the required documents for fee waivers?,***Policy given***,Correct,,,,
"Can I take Python before completing Computational Thinking

","According to the prerequisite information in the ""Learning paths available.md"" document:

The course Intro to Python requires Computational Thinking (CT) as a prerequisite.
This means you cannot take Intro to Python before completing Computational Thinking. You must complete Computational Thinking first or at least register for it before you can take the Intro to Python course.",Correct,,,,
"can a working professional apply for direct entry diploma
","Yes, a working professional can apply for direct entry into the Diploma programme. This pathway is primarily aimed at working professionals or learners who already possess the fundamentals taught in Year 1 of the programme and wish to enter the Diploma level directly.

Key points:

Eligibility: Students who have completed 2 years in any undergraduate degree programme can apply for direct entry into the diploma level by submitting their second-year marksheet or higher as proof.
Admission Process: Candidates need to pass a separate Direct Admission to Diploma (DAD) qualifier exam which is conducted three times a year.
Passing the qualifier allows registration for the Diploma courses.
There is no limit on the number of attempts for the qualifier exam.
Fees apply for the qualifier exam as per category.
For more details, see the ""Direct Entry into Diploma programme"" section in the guidelines.
",Correct,,,,
"How can students raise a complaint through the Grievance Cell?

","The provided documents do not contain information regarding the process for students to raise a complaint through the Grievance Cell.

If you need details about raising a complaint via the Grievance Cell, please let me know if there are other documents you can share, or you may contact the course administration or student support services directly for guidance.",Incorrect,,,,
what about placement support,"Placement support is provided for students in the last term of both diplomas and the degree level. According to the May 2025 term announcements:

There will be 2 career counseling sessions per week.
Students can book a slot in these sessions to discuss their career choices with the instructors.
A form will be circulated before the sessions to schedule personalized interactions based on individual requirements.
This means that students nearing completion of their program receive personalized career guidance and support through these scheduled counseling sessions. Please keep an eye on course announcements for updates regarding these sessions and how to book your slot.",Correct,,,,
"how much credits can be transfered from NPTEL COURSES
","A maximum of 4 credits can be transferred from NPTEL courses under the HS/MG (Humanities/Social Sciences/Management) category at the BS degree level.

For other categories at the BSc or BS levels, NPTEL courses can also be credited, but:

Each NPTEL course can be credited only once and to only one program (not credited twice).
NPTEL courses of different durations correspond to different credit equivalences in the BS program:
4-week course = 1 credit
8-week course = 2 credits
12-week course = 3 credits
Additional points:

The maximum credits that can be transferred from any on-campus or external courses (including apprenticeships and NPTEL) is limited as per program guidelines.
Fee for credit transfer from NPTEL is Rs 1000 per credit.
Summary:

Maximum 4 credits transferable from NPTEL under HS/MG category at BS level.
Other NPTEL courses can be credited based on duration and category, subject to program limits.",Correct,,,,
"What eligibility is required to apply for a direct entry diploma

","To be eligible to apply for Direct Entry into the Diploma programme, the following criteria must be met:

The candidate must have completed 2 years in any undergraduate (UG) degree programme.
The candidate must submit their second year marksheet or higher as proof of having completed 2 years of the UG degree.
This pathway is aimed at working professionals or learners who already possess the fundamentals taught in Year 1 of the programme and want to enter the Diploma level directly.",Correct,,,,
